scenario,hour,wind_MW
1,1,192.2302
1,2,167.0691
1,3,196.0551
1,4,160.3592
1,5,255.5489
1,6,335.0975
1,7,366.2914
1,8,357.9395
1,9,408.2419
1,10,431.5867
1,11,417.3386
1,12,404.8012
1,13,389.8522
1,14,368.6253
1,15,360.1142
1,16,372.6051
1,17,341.1596
1,18,328.2424
1,19,367.1282
1,20,362.0368
1,21,368.2439
1,22,315.7821
1,23,312.197
1,24,344.6555
2,1,253.8501
2,2,227.4973
2,3,292.3976
2,4,335.6215
2,5,363.7687
2,6,327.7812
2,7,384.1743
2,8,408.481
2,9,361.2004
2,10,260.0555
2,11,222.4678
2,12,112.4401
2,13,73.2268
2,14,249.0599
2,15,297.6292
2,16,261.5487
2,17,288.3497
2,18,363.0388
2,19,392.1472
2,20,408.2755
2,21,409.232
2,22,392.6189
2,23,307.3325
2,24,381.9791
3,1,232.0007
3,2,272.9186
3,3,357.2003
3,4,398.9256
3,5,402.3593
3,6,392.5572
3,7,353.9152
3,8,388.2348
3,9,431.5956
3,10,416.591
3,11,387.2396
3,12,320.67
3,13,313.236
3,14,343.7019
3,15,340.7767
3,16,328.014
3,17,326.5751
3,18,336.6392
3,19,245.3866
3,20,302.0948
3,21,346.5787
3,22,408.2657
3,23,408.1818
3,24,403.93
4,1,238.4272
4,2,269.8429
4,3,336.9505
4,4,334.159
4,5,413.2582
4,6,404.5689
4,7,399.8175
4,8,427.0118
4,9,463.2951
4,10,445.0359
4,11,468.1409
4,12,411.3327
4,13,382.9107
4,14,362.7279
4,15,355.7059
4,16,363.6814
4,17,366.2953
4,18,368.5154
4,19,391.6817
4,20,384.0008
4,21,366.3133
4,22,387.3725
4,23,379.1217
4,24,321.6397
5,1,240.0051
5,2,259.0405
5,3,320.6912
5,4,357.4216
5,5,360.076
5,6,361.5904
5,7,382.1492
5,8,396.6072
5,9,377.2519
5,10,374.161
5,11,409.2241
5,12,386.391
5,13,358.3719
5,14,373.7591
5,15,372.395
5,16,357.0647
5,17,349.2472
5,18,357.3558
5,19,331.8034
5,20,370.6563
5,21,408.4194
5,22,379.7947
5,23,401.1207
5,24,395.1167
6,1,177.2683
6,2,281.546
6,3,334.5806
6,4,385.5833
6,5,403.7239
6,6,388.0557
6,7,384.0102
6,8,410.7666
6,9,416.3938
6,10,375.7364
6,11,368.5139
6,12,382.4487
6,13,371.728
6,14,321.7306
6,15,243.4907
6,16,272.556
6,17,241.1666
6,18,225.07
6,19,276.8439
6,20,327.8783
6,21,339.8815
6,22,320.2827
6,23,159.7549
6,24,80.1098
7,1,301.5101
7,2,342.1178
7,3,360.6222
7,4,367.7095
7,5,386.3225
7,6,339.423
7,7,356.0741
7,8,357.1193
7,9,354.9693
7,10,426.055
7,11,400.3257
7,12,290.5815
7,13,289.5679
7,14,302.0507
7,15,281.6219
7,16,273.045
7,17,279.7303
7,18,295.4707
7,19,229.0199
7,20,254.126
7,21,81.2397
7,22,96.8616
7,23,115.3261
7,24,83.4951
8,1,318.2803
8,2,340.5867
8,3,362.4561
8,4,400.6287
8,5,410.3969
8,6,404.4817
8,7,413.7478
8,8,412.1971
8,9,414.4564
8,10,419.7809
8,11,407.0845
8,12,419.41
8,13,398.0407
8,14,374.7444
8,15,356.5052
8,16,327.4356
8,17,311.2324
8,18,364.7497
8,19,342.3829
8,20,366.7286
8,21,356.3236
8,22,378.4115
8,23,343.6825
8,24,367.2497
9,1,235.2462
9,2,237.7207
9,3,352.1863
9,4,385.0576
9,5,384.0256
9,6,428.7924
9,7,433.7878
9,8,433.3317
9,9,410.7076
9,10,406.5195
9,11,395.6586
9,12,362.0118
9,13,330.6973
9,14,302.6038
9,15,300.287
9,16,353.3607
9,17,345.9948
9,18,334.4495
9,19,358.5324
9,20,332.1563
9,21,334.7088
9,22,395.2765
9,23,364.2987
9,24,409.8702
10,1,255.7464
10,2,220.1415
10,3,275.8424
10,4,360.5047
10,5,343.512
10,6,278.1836
10,7,235.0768
10,8,192.7205
10,9,272.6405
10,10,344.3454
10,11,339.5777
10,12,284.2251
10,13,382.2729
10,14,348.9999
10,15,335.8523
10,16,315.5743
10,17,338.9536
10,18,365.5044
10,19,386.4158
10,20,382.6535
10,21,398.2733
10,22,408.3655
10,23,402.4256
10,24,383.2658
11,1,303.1945
11,2,331.3073
11,3,371.5535
11,4,407.4794
11,5,424.0521
11,6,456.4544
11,7,471.5993
11,8,470.4012
11,9,481.6325
11,10,490.8977
11,11,485.2687
11,12,475.3274
11,13,451.581
11,14,473.5606
11,15,434.3102
11,16,413.5517
11,17,415.384
11,18,428.1122
11,19,407.5249
11,20,445.3866
11,21,463.5537
11,22,476.1792
11,23,416.6787
11,24,390.2186
12,1,208.408
12,2,255.375
12,3,344.3733
12,4,396.1174
12,5,411.6806
12,6,391.0657
12,7,428.9156
12,8,418.2153
12,9,403.9635
12,10,416.9181
12,11,410.9903
12,12,371.1528
12,13,385.8548
12,14,366.4211
12,15,345.3202
12,16,346.9507
12,17,334.7166
12,18,335.2316
12,19,365.9278
12,20,329.6345
12,21,398.52
12,22,427.8973
12,23,415.6289
12,24,430.1386
13,1,245.2249
13,2,280.9305
13,3,296.6029
13,4,386.4995
13,5,400.4499
13,6,407.4109
13,7,431.0226
13,8,434.9799
13,9,412.0607
13,10,430.8201
13,11,409.5893
13,12,394.1647
13,13,408.0226
13,14,366.7798
13,15,371.2944
13,16,339.514
13,17,326.3028
13,18,244.9151
13,19,309.3318
13,20,193.8467
13,21,163.8066
13,22,306.0234
13,23,254.266
13,24,369.8783
14,1,313.0376
14,2,354.6778
14,3,366.4743
14,4,387.7357
14,5,396.1179
14,6,372.5299
14,7,361.7931
14,8,357.1214
14,9,318.5303
14,10,183.9727
14,11,208.6805
14,12,314.9223
14,13,304.1573
14,14,298.1672
14,15,319.249
14,16,345.1334
14,17,370.2951
14,18,334.4894
14,19,344.3987
14,20,379.3163
14,21,413.0873
14,22,406.2866
14,23,399.1018
14,24,386.8209
15,1,312.4459
15,2,350.1795
15,3,374.2206
15,4,399.5788
15,5,429.0882
15,6,404.9165
15,7,386.9907
15,8,393.9125
15,9,347.3966
15,10,359.8259
15,11,340.9692
15,12,286.5844
15,13,297.2847
15,14,344.07
15,15,263.7281
15,16,265.9828
15,17,74.8924
15,18,121.9985
15,19,84.9256
15,20,99.3746
15,21,320.9427
15,22,327.5451
15,23,402.5216
15,24,408.3147
16,1,226.673
16,2,262.5845
16,3,257.804
16,4,311.4446
16,5,219.1767
16,6,312.7571
16,7,374.4314
16,8,380.0125
16,9,320.2304
16,10,345.7758
16,11,208.6568
16,12,123.0088
16,13,90.4111
16,14,321.8137
16,15,383.9444
16,16,375.35
16,17,308.0095
16,18,279.502
16,19,350.0451
16,20,346.3744
16,21,336.6399
16,22,358.6593
16,23,120.9208
16,24,236.3539
17,1,236.9335
17,2,316.3812
17,3,339.2179
17,4,376.6614
17,5,359.423
17,6,389.5399
17,7,360.512
17,8,386.0945
17,9,414.9881
17,10,422.5947
17,11,430.0857
17,12,426.2955
17,13,429.0469
17,14,399.8993
17,15,393.0406
17,16,392.6871
17,17,351.5527
17,18,340.8412
17,19,323.7589
17,20,336.1064
17,21,388.4464
17,22,411.1212
17,23,410.9682
17,24,408.2662
18,1,231.6045
18,2,268.4665
18,3,281.2284
18,4,342.2927
18,5,367.4668
18,6,387.9914
18,7,392.908
18,8,421.6227
18,9,409.274
18,10,384.8819
18,11,339.6155
18,12,375.8755
18,13,368.8307
18,14,371.8468
18,15,335.8966
18,16,365.8366
18,17,343.593
18,18,301.6431
18,19,355.311
18,20,380.1367
18,21,325.1101
18,22,370.1358
18,23,377.5765
18,24,326.8774
19,1,240.4633
19,2,303.7698
19,3,356.2654
19,4,399.5017
19,5,409.8232
19,6,397.6495
19,7,418.8239
19,8,410.3699
19,9,327.9182
19,10,331.3928
19,11,385.5796
19,12,346.4057
19,13,325.2514
19,14,340.2814
19,15,366.9753
19,16,332.0789
19,17,320.6283
19,18,316.0408
19,19,369.034
19,20,381.7659
19,21,393.5252
19,22,410.9068
19,23,342.579
19,24,318.2175
20,1,353.4884
20,2,358.0706
20,3,378.7212
20,4,408.199
20,5,414.144
20,6,386.3028
20,7,427.6967
20,8,432.3005
20,9,407.9989
20,10,317.1067
20,11,334.5528
20,12,299.4046
20,13,268.8236
20,14,259.1806
20,15,327.9883
20,16,335.8395
20,17,315.7947
20,18,356.3022
20,19,351.7819
20,20,363.7842
20,21,326.6779
20,22,314.9377
20,23,293.9092
20,24,319.9063
